CODIGO,DESCRICAO
02032,"Carnes e miudezas, comestíveis.Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.- Congeladas:"
02032100,"Carnes e miudezas, comestíveis.Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.- Congeladas:-- Carcaças e meias-carcaças"
02032200,"Carnes e miudezas, comestíveis.Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.- Congeladas:-- Pernas, pás e respectivos pedaços, não desossados"
02032900,"Carnes e miudezas, comestíveis.Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.- Congeladas:-- Outras"
0204,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas."
02041000,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas"
02042,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:"
02042100,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:-- Carcaças e meias-carcaças"
02042200,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:-- Outras peças não desossadas"
02042300,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:-- Desossadas"
02043000,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Carcaças e meias-carcaças de cordeiro, congeladas"
02044,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Outras carnes de animais da espécie ovina, congeladas:"
02044100,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Outras carnes de animais da espécie ovina, congeladas:-- Carcaças e meias-carcaças"
02044200,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Outras carnes de animais da espécie ovina, congeladas:-- Outras peças não desossadas"
02044300,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Outras carnes de animais da espécie ovina, congeladas:-- Desossadas"
02045000,"Carnes e miudezas, comestíveis.Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.- Carnes de animais da espécie caprina"
02050000,"Carnes e miudezas, comestíveis.Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas."
0206,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas."
02061000,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie bovina, frescas ou refrigeradas"
02062,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie bovina, congeladas:"
02062100,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie bovina, congeladas:-- Línguas"
02062200,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie bovina, congeladas:-- Fígados"
020629,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie bovina, congeladas:-- Outras"
02062910,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie bovina, congeladas:-- Outras Rabos"
02062990,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie bovina, congeladas:-- Outras Outros"
02063000,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie suína, frescas ou refrigeradas"
02064,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie suína, congeladas:"
02064100,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie suína, congeladas:-- Fígados"
02064900,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Da espécie suína, congeladas:-- Outras"
02068000,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Outras, frescas ou refrigeradas"
02069000,"Carnes e miudezas, comestíveis.Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.- Outras, congeladas"
0207,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05."
02071,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:"
02071100,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Não cortadas em pedaços, frescas ou refrigeradas"
020712,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Não cortadas em pedaços, congeladas"
02071210,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Não cortadas em pedaços, congeladas Com miudezas"
02071220,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Não cortadas em pedaços, congeladas Sem miudezas"
02071300,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, frescos ou refrigerados"
020714,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados"
0207141,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços não desossados"
02071411,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços não desossados Peitos"
02071412,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços não desossados Coxas com sobrecoxas"
02071413,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços não desossados Asas"
02071419,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços não desossados Outros"
0207142,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços desossados"
02071421,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços desossados Peitos, coxas e sobrecoxas, formando uma só peça"
02071422,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços desossados Peitos"
02071423,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços desossados Coxas com sobrecoxas"
02071424,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços desossados Carne mecanicamente separada"
02071429,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Pedaços desossados Outros"
0207143,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Miudezas"
02071431,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Miudezas Fígados"
02071432,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Miudezas Moelas"
02071433,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Miudezas Corações"
02071434,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Miudezas Pés e patas"
02071439,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De aves da espécie Gallus domesticus:-- Pedaços e miudezas, congelados Miudezas Outras"
02072,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De peruas e de perus:"
02072400,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De peruas e de perus:-- Não cortadas em pedaços, frescas ou refrigeradas"
02072500,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De peruas e de perus:-- Não cortadas em pedaços, congeladas"
02072600,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De peruas e de perus:-- Pedaços e miudezas, frescos ou refrigerados"
02072700,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De peruas e de perus:-- Pedaços e miudezas, congelados"
02074,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De patos:"
02074100,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De patos:-- Não cortadas em pedaços, frescas ou refrigeradas"
02074200,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De patos:-- Não cortadas em pedaços, congeladas"
02074300,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De patos:-- Fígados gordos (foies gras), frescos ou refrigerados"
02074400,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De patos:-- Outras, frescas ou refrigeradas"
02074500,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De patos:-- Outras, congeladas"
02075,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De gansos:"
02075100,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De gansos:-- Não cortadas em pedaços, frescas ou refrigeradas"
02075200,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De gansos:-- Não cortadas em pedaços, congeladas"
02075300,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De gansos:-- Fígados gordos (foies gras), frescos ou refrigerados"
02075400,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De gansos:-- Outras, frescas ou refrigeradas"
02075500,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De gansos:-- Outras, congeladas"
02076000,"Carnes e miudezas, comestíveis.Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.- De galinhas-d'angola (pintadas)"
0208,"Carnes e miudezas, comestíveis.Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas."
02081000,"Carnes e miudezas, comestíveis.Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.- De coelhos ou lebres"
02083000,"Carnes e miudezas, comestíveis.Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.- De primatas"
02084000,"Carnes e miudezas, comestíveis.Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)"
02085000,"Carnes e miudezas, comestíveis.Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.- De répteis (incluindo as serpentes e as tartarugas marinhas)"
02086000,"Carnes e miudezas, comestíveis.Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.- De camelos e outros camelídeos (Camelidae)"
02089000,"Carnes e miudezas, comestíveis.Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.- Outras"
0209,"Carnes e miudezas, comestíveis.Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados)."
020910,"Carnes e miudezas, comestíveis.Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados).- De porco"
0209101,"Carnes e miudezas, comestíveis.Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados).- De porco Toucinho"
